output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
315,315,camera_timecode_anchor,1788012781294169.000,275765.240235,155,155,2.001961,0
316,316,timestamp_inferred,1788012781327596.000,275769.301852,155,156,2.001961,0
317,317,camera_timecode_anchor,1788012781361023.000,275773.363469,156,156,3.028906,1
318,318,timestamp_inferred,1788012781394445.000,275777.407847,156,157,3.028906,1
319,319,camera_timecode_anchor,1788012781427867.000,275781.452225,157,157,3.768545,1
320,320,timestamp_inferred,1788012781461292.500,275785.354141,157,158,3.768545,1
321,321,camera_timecode_anchor,1788012781494718.000,275789.256056,158,158,2.133799,0
322,322,timestamp_inferred,1788012781528144.000,275793.319309,158,159,2.133799,0
323,323,camera_timecode_anchor,1788012781561570.000,275797.382562,159,159,3.188016,1
324,324,timestamp_inferred,1788012781594996.500,275801.445415,159,160,3.188016,1
325,325,camera_timecode_anchor,1788012781628423.000,275805.508269,160,160,4.235571,0
326,326,timestamp_inferred,1788012781661848.000,275809.528381,160,161,4.235571,0
327,327,camera_timecode_anchor,1788012781695273.000,275813.548494,161,161,-3.762553,1
328,328,timestamp_inferred,1788012781728703.000,275817.675369,161,162,-3.762553,1
329,329,camera_timecode_anchor,1788012781762133.000,275821.802245,162,162,-1.647958,1
330,330,timestamp_inferred,1788012781795562.000,275825.958796,162,163,-1.647958,1
